week,timestamp,object_id,verb_id,time,date,account_name
14,2018-04-03T21:37:12,https://sakailogin.nd.edu/portal/web/SP18-FYS-10102-05/id/444b73b5-fe3c-4e21-b4c3-6a684f4c5e71/url/https%3A%2F%2Fsakailogin.nd.edu%2Faccess%2Fcontent%2Fgroup%2Fd4d124f8-135e-4ff6-90dc-840974c10984%2FCoursework%2Fsp18fys10102_with_forwarding.html,experienced,21:37:12,2018-04-03,aachecar
14,2018-04-03T21:36:34,https://sakailogin.nd.edu/portal/web/SP18-FYS-10102-05/id/444b73b5-fe3c-4e21-b4c3-6a684f4c5e71/url/https%3A%2F%2Fsakailogin.nd.edu%2Faccess%2Fcontent%2Fgroup%2Fd4d124f8-135e-4ff6-90dc-840974c10984%2FCoursework%2Fsp18fys10102_with_forwarding.html,experienced,21:36:34,2018-04-03,aachecar
14,2018-04-04T11:02:53,https://sakailogin.nd.edu/portal/web/SP18-FYS-10102-05/id/444b73b5-fe3c-4e21-b4c3-6a684f4c5e71/url/https%3A%2F%2Fsakailogin.nd.edu%2Faccess%2Fcontent%2Fgroup%2Fd4d124f8-135e-4ff6-90dc-840974c10984%2FCoursework%2Fsp18fys10102_with_forwarding.html,experienced,11:02:53,2018-04-04,aachecar
14,2018-04-04T10:48:23,https://sakailogin.nd.edu/portal/web/SP18-FYS-10102-05/id/444b73b5-fe3c-4e21-b4c3-6a684f4c5e71/url/https%3A%2F%2Fsakailogin.nd.edu%2Faccess%2Fcontent%2Fgroup%2Fd4d124f8-135e-4ff6-90dc-840974c10984%2FCoursework%2Fsp18fys10102_with_forwarding.html,experienced,10:48:23,2018-04-04,aachecar
14,2018-04-04T10:24:50,https://sakailogin.nd.edu/portal/web/SP18-FYS-10102-05/id/444b73b5-fe3c-4e21-b4c3-6a684f4c5e71/url/https%3A%2F%2Fsakailogin.nd.edu%2Faccess%2Fcontent%2Fgroup%2Fd4d124f8-135e-4ff6-90dc-840974c10984%2FCoursework%2Fsp18fys10102_with_forwarding.html,experienced,10:24:50,2018-04-04,aachecar
14,2018-04-04T10:48:40,https://sakailogin.nd.edu/access/content/group/d4d124f8-135e-4ff6-90dc-840974c10984/Week 11/beloved_friends_and_allies.html,interacted,10:48:40,2018-04-04,aachecar
14,2018-04-04T10:49:18,https://sakailogin.nd.edu/access/content/group/d4d124f8-135e-4ff6-90dc-840974c10984/Week 11/building_a_bridge.html,interacted,10:49:18,2018-04-04,aachecar
14,2018-04-04T10:25:02,https://sakailogin.nd.edu/access/content/group/d4d124f8-135e-4ff6-90dc-840974c10984/Week 10/the_girl_next_door.html,interacted,10:25:02,2018-04-04,aachecar
14,2018-04-03T21:37:18,https://sakailogin.nd.edu/access/content/group/d4d124f8-135e-4ff6-90dc-840974c10984/Week 0/week0_weekly_prompt_questions.html,interacted,21:37:18,2018-04-03,aachecar
14,2018-04-08T09:49:03,https://sakailogin.nd.edu/portal/web/SP18-FYS-10102-47/id/f53b482e-7404-482c-acb3-82ec3dcb5577/url/https%3A%2F%2Fsakailogin.nd.edu%2Faccess%2Fcontent%2Fgroup%2Fd4d124f8-135e-4ff6-90dc-840974c10984%2FCoursework%2Fsp18fys10102_with_forwarding.html,experienced,09:49:03,2018-04-08,aakatu
14,2018-04-02T09:24:13,https://sakailogin.nd.edu/portal/web/SP18-FYS-10102-47/id/f53b482e-7404-482c-acb3-82ec3dcb5577/url/https%3A%2F%2Fsakailogin.nd.edu%2Faccess%2Fcontent%2Fgroup%2Fd4d124f8-135e-4ff6-90dc-840974c10984%2FCoursework%2Fsp18fys10102_with_forwarding.html,experienced,09:24:13,2018-04-02,aakatu
14,2018-04-08T20:28:31,https://sakailogin.nd.edu/portal/web/SP18-FYS-10102-47/id/f53b482e-7404-482c-acb3-82ec3dcb5577/url/https%3A%2F%2Fsakailogin.nd.edu%2Faccess%2Fcontent%2Fgroup%2Fd4d124f8-135e-4ff6-90dc-840974c10984%2FCoursework%2Fsp18fys10102_with_forwarding.html,experienced,20:28:31,2018-04-08,aakatu
