18.5,1
24.2,1
8.18,1
18.37.18.37.18.37.2,1
29.36.18,1
37.18.36,1
24.33,1
18.37.18.14,1
2.18,1
12,1
17.36,1
37.18.37.20,1
2.24,1
24.5,1
18.37.3,1
8.13.36.30,1
6.24,1
18.24.22,1
18.37.24.22,1
28.27,1
11.18.37.18,1
11.0.24,1
18.36.19,1
9.24,1
18.36.20,1
26.16.23,1
20.18.37,1
36.31,1
32.18,1
22.36.9,1
18.37.18.32,1
37.23,1
36.6,1
23.36,1
9.18.37.29,1
36.16,1
23.36.16,1
37.18.37.33,1
18.24.18.37.18.37,1
37.19,1
13.36,1
24.30,1
34.36,1
26.24,1
9.36.18,1
17.24,1
36.31.17,1
4.18.37.18.37.34,1
36.9.22,1
2.36.24,1
36.17,1
18.36.34,1
18.37.20,1
31.17,1
13.24,1
18.37.33,1
18.37.7,1
23,1
18.36.28,1
23.29,1
22.9.24,1
18.37.18.37.7,1
37.18.37.30,1
18.7,1
18.11,1
9.22,1
5.18.37.18.36,1
37.18.37.31,1
18.4,1
26.23.24,1
0.11,1
18.37.30,1
37.18.37.24,1
16.26.24,1
33.36.21,1
37.18.37.18.37.2,1
6,1
18.37.13,1
18.37.19,1
18.37.10,1
12.18.37,1
24.18.37.18.37,1
18.37.18.37.18.37.34,1
6.36,1
18.33,1
36.19,1
18.37.18.37.19,1
18.36.18.37.18,1
37.18.37.19,1
24.22,1
36.27,1
36.24,1
22.9,1
7.24,1
4.18.36,1
18.37.18.37.33,1
37.18.37.2,1
36.8,1
16.26.18,1
3.18,1
36.11,1
24.18.36,1
15.24,1
17,1
16.26.24.18,1
37.18.32,1
31,1
18.19,1
32.31.18,1
12.24,1
23.18.37.33,1
16.18,1
0.18.36,1
36.2,1
37.7,1
8.30,1
18.36.22,1
37.13,1
25,1
37.22,1
36.18.37.18,1
16.36,1
5.14,1
37.18.37.18.37.30,1
34.24.18,1
24.18.37.18,1
36.6.34,1
18.36.3,1
16.18.36,1
18.36.6.18,1
3.36,1
36.6.18,1
2.18.37,1
16.23.18,1
18.37.18.36,1
