source,target,value
36|,27|,0.005893909626719057
36|,6|,0.004715127701375246
36|,8|,0.005108055009823182
36|,30|,0.0041257367387033395
36|,23|,0.003929273084479371
36|,7|,0.005304518664047151
36|,16|,0.003536345776031434
36|,31|,0.00275049115913556
36|,3|,0.0068762278978389
36|,15|,0.013163064833005894
36|,21|,0.006483300589390962
36|,9|,0.006483300589390962
36|,1|,0.006090373280943025
36|,4|,0.004322200392927309
36|,22|,0.0068762278978389
36|,28|,0.002357563850687623
36|,5|,0.001768172888015717
36|,29|,0.008055009823182711
36|,2|,0.004518664047151277
36|,20|,0.008055009823182711
36|,0|,0.00962671905697446
36|,11|,0.007072691552062868
36|,19|,0.010805500982318271
36|,34|,0.003143418467583497
36|,10|,0.008251473477406679
36|,13|,0.008251473477406679
36|,18|,0.009233791748526522
36|,12|,0.7848722986247544
36|,17|,0.007072691552062868
36|,33|,0.004322200392927309
36|,32|,0.009037328094302554
36|,25|,0.01807465618860511
36|,24|,0.004715127701375246
36|,26|,0.005108055009823182
4|,10|,0.07105263157894737
4|,36|,0.10526315789473684
4|,37|,0.42894736842105263
4|,30|,0.06315789473684211
4|,23|,0.021052631578947368
4|,12|,0.1763157894736842
4|,25|,0.13421052631578947
30|,10|,0.09227871939736347
30|,36|,0.07156308851224105
30|,37|,0.23163841807909605
30|,12|,0.096045197740113
30|,4|,0.4745762711864407
30|,25|,0.03389830508474576
23|,12|,0.051118210862619806
23|,37|,0.20447284345047922
23|,5|,0.5654952076677316
23|,36|,0.0670926517571885
23|,16|,0.11182108626198083
7|,36|,0.15196078431372548
7|,37|,0.28431372549019607
7|,18|,0.13480392156862744
7|,12|,0.15196078431372548
7|,25|,0.22794117647058823
7|,31|,0.049019607843137254
16|,36|,0.10204081632653061
16|,37|,0.5830903790087464
16|,23|,0.043731778425655975
16|,12|,0.11078717201166181
16|,5|,0.06997084548104957
16|,25|,0.09037900874635568
31|,29|,0.023140495867768594
31|,36|,0.07768595041322314
31|,37|,0.2066115702479339
31|,18|,0.05289256198347107
31|,12|,0.5801652892561984
31|,7|,0.024793388429752067
31|,25|,0.03471074380165289
3|,27|,0.16598360655737704
3|,37|,0.14344262295081966
3|,12|,0.08401639344262295
3|,24|,0.5122950819672131
3|,25|,0.0389344262295082
3|,36|,0.055327868852459015
15|,21|,0.26143790849673204
15|,36|,0.08823529411764706
15|,37|,0.13725490196078433
15|,0|,0.34967320261437906
15|,12|,0.09477124183006536
15|,6|,0.014705882352941176
15|,19|,0.026143790849673203
15|,25|,0.027777777777777776
27|,36|,0.105
27|,37|,0.5075
27|,12|,0.1425
27|,24|,0.105
27|,25|,0.1125
27|,3|,0.0275
21|,15|,0.0444015444015444
21|,36|,0.10810810810810811
21|,37|,0.4575289575289575
21|,0|,0.11969111969111969
21|,12|,0.16216216216216217
21|,19|,0.015444015444015444
21|,25|,0.09266409266409266
9|,36|,0.17740511915269197
9|,20|,0.01500441306266549
9|,0|,0.01412180052956752
9|,11|,0.01676963812886143
9|,19|,0.02471315092674316
9|,15|,0.00706090026478376
9|,37|,0.5428067078552515
9|,8|,0.01147396293027361
9|,18|,0.01500441306266549
9|,12|,0.15092674315975288
9|,13|,0.00706090026478376
9|,25|,0.0176522506619594
17|,12|,0.16498316498316498
17|,36|,0.12626262626262627
17|,37|,0.34175084175084175
17|,32|,0.18855218855218855
17|,34|,0.013468013468013467
17|,25|,0.16498316498316498
1|,29|,0.12369337979094076
1|,36|,0.1254355400696864
1|,37|,0.5069686411149826
1|,0|,0.02264808362369338
1|,12|,0.14111498257839722
1|,25|,0.08013937282229965
22|,28|,0.7453798767967146
22|,36|,0.030800821355236138
22|,37|,0.08213552361396304
22|,12|,0.06570841889117043
22|,34|,0.0513347022587269
22|,25|,0.024640657084188913
28|,36|,0.09205020920502092
28|,37|,0.3054393305439331
28|,12|,0.13179916317991633
28|,34|,0.38493723849372385
28|,22|,0.06903765690376569
28|,25|,0.016736401673640166
29|,12|,0.10204081632653061
29|,36|,0.10884353741496598
29|,37|,0.20918367346938777
29|,1|,0.4914965986394558
29|,0|,0.01870748299319728
29|,15|,0.023809523809523808
29|,25|,0.04591836734693878
5|,12|,0.07236842105263158
5|,37|,0.1611842105263158
5|,36|,0.05263157894736842
5|,16|,0.6052631578947368
5|,23|,0.10855263157894737
37|,2|,0.0003080596095344449
37|,20|,0.0003080596095344449
37|,23|,0.0003465670607262505
37|,5|,0.0005776117678770842
37|,16|,0.0006161192190688898
37|,19|,0.0003465670607262505
37|,3|,0.0005391043166852786
37|,15|,0.00042358196310986174
37|,32|,0.00038507451191805613
37|,13|,0.0003465670607262505
37|,18|,0.0003465670607262505
37|,12|,0.9942238823212292
37|,8|,0.00042358196310986174
37|,22|,0.0003465670607262505
37|,25|,0.00046208941430166735
20|,36|,0.10204081632653061
20|,37|,0.2119309262166405
20|,12|,0.09105180533751962
20|,6|,0.46938775510204084
20|,19|,0.09733124018838304
20|,25|,0.0282574568288854
0|,1|,0.012032085561497326
0|,36|,0.14705882352941177
0|,37|,0.22058823529411764
0|,20|,0.02406417112299465
0|,18|,0.0106951871657754
0|,15|,0.09224598930481283
0|,21|,0.3088235294117647
0|,11|,0.0106951871657754
0|,19|,0.01871657754010695
0|,25|,0.02540106951871658
0|,12|,0.12967914438502673
11|,36|,0.13297872340425532
11|,37|,0.2978723404255319
11|,18|,0.09219858156028368
11|,12|,0.15780141843971632
11|,13|,0.13652482269503546
11|,0|,0.024822695035460994
11|,25|,0.15780141843971632
19|,36|,0.09803921568627451
19|,37|,0.2647058823529412
19|,20|,0.3431372549019608
19|,12|,0.12091503267973856
19|,6|,0.1454248366013072
19|,25|,0.027777777777777776
34|,36|,0.12477396021699819
34|,37|,0.321880650994575
34|,12|,0.1844484629294756
34|,28|,0.06329113924050633
34|,22|,0.17721518987341772
34|,25|,0.12839059674502712
10|,36|,0.03125
10|,37|,0.13786764705882354
10|,30|,0.6838235294117647
10|,23|,0.014705882352941176
10|,12|,0.06801470588235294
10|,4|,0.034926470588235295
10|,25|,0.029411764705882353
8|,12|,0.12751677852348994
8|,36|,0.16778523489932887
8|,37|,0.6500479386385427
8|,9|,0.015340364333652923
8|,23|,0.011505273250239693
8|,32|,0.012464046021093002
8|,25|,0.015340364333652923
26|,36|,0.05172413793103448
26|,37|,0.15134099616858238
26|,12|,0.06513409961685823
26|,33|,0.6187739463601533
26|,2|,0.08237547892720307
26|,25|,0.03065134099616858
18|,12|,0.10488505747126436
18|,36|,0.13936781609195403
18|,37|,0.2514367816091954
18|,0|,0.04310344827586207
18|,32|,0.017241379310344827
18|,17|,0.01293103448275862
18|,11|,0.06609195402298851
18|,25|,0.08620689655172414
18|,7|,0.24568965517241378
18|,31|,0.017241379310344827
18|,13|,0.015804597701149427
12|,36|,0.08481815962899683
12|,6|,0.0028374420307542103
12|,30|,0.0026238711252135707
12|,23|,0.005217232121064193
12|,7|,0.005613863802782524
12|,16|,0.0022272394434952403
12|,31|,0.015926287527459115
12|,3|,0.00958018061996583
12|,10|,0.010648035147669026
12|,27|,0.0012509153038808883
12|,21|,0.0022882597022211375
12|,9|,0.03206614596045887
12|,15|,0.01058701488894313
12|,4|,0.002196729314132292
12|,2|,0.010037832560410057
12|,28|,0.00183060776177691
12|,5|,0.0016780571149621673
12|,29|,0.01037344398340249
12|,22|,0.007810593116914816
12|,37|,0.5886014156700025
12|,20|,0.005674884061508421
12|,1|,0.005766414449597267
12|,0|,0.008207224798633147
12|,11|,0.007169880400292897
12|,19|,0.010037832560410057
12|,34|,0.0068952892360263605
12|,8|,0.030021967293141324
12|,18|,0.013149865755430803
12|,32|,0.012875274591164266
12|,17|,0.00466804979253112
12|,33|,0.0026238711252135707
12|,25|,0.06577983890651697
12|,24|,0.004149377593360996
12|,26|,0.0023492799609470343
12|,13|,0.012417622650720038
6|,36|,0.12431444241316271
6|,37|,0.35648994515539306
6|,20|,0.17915904936014626
6|,12|,0.14442413162705667
6|,19|,0.1316270566727605
6|,25|,0.06398537477148081
33|,36|,0.08928571428571429
33|,37|,0.48412698412698413
33|,12|,0.1746031746031746
33|,2|,0.05952380952380952
33|,25|,0.1111111111111111
33|,26|,0.06349206349206349
33|,3|,0.017857142857142856
32|,28|,0.014814814814814815
32|,36|,0.0962962962962963
32|,37|,0.20296296296296296
32|,12|,0.10666666666666667
32|,17|,0.5362962962962963
32|,22|,0.013333333333333334
32|,25|,0.02962962962962963
25|,36|,0.11294683088014419
25|,6|,0.009011715229798739
25|,8|,0.008410934214478822
25|,30|,0.007810153199158907
25|,23|,0.012015620306398318
25|,7|,0.005707419645539201
25|,16|,0.004205467107239411
25|,31|,0.007810153199158907
25|,3|,0.022228897566836887
25|,10|,0.018624211474917392
25|,37|,0.3442475217783118
25|,21|,0.0033042955842595375
25|,9|,0.003604686091919495
25|,15|,0.017723039951937518
25|,4|,0.0054070291378792434
25|,2|,0.023430459597476718
25|,28|,0.004806248122559327
25|,5|,0.0030039050765995794
25|,29|,0.0264343646740763
25|,22|,0.014118353860018024
25|,20|,0.018924601982577352
25|,1|,0.013517572844698107
25|,0|,0.018624211474917392
25|,11|,0.015019525382997898
25|,19|,0.01321718233703815
25|,34|,0.028537098227696005
25|,13|,0.019525382997897266
25|,18|,0.01021327726043857
25|,12|,0.14839291078401923
25|,17|,0.013517572844698107
25|,33|,0.007810153199158907
25|,32|,0.022228897566836887
25|,24|,0.006908981676179033
25|,26|,0.00871132472213878
24|,27|,0.5020661157024794
24|,37|,0.23553719008264462
24|,12|,0.04132231404958678
24|,25|,0.04338842975206612
24|,36|,0.11363636363636363
24|,3|,0.0640495867768595
2|,36|,0.06333973128598848
2|,37|,0.1017274472168906
2|,12|,0.05758157389635317
2|,33|,0.06525911708253358
2|,25|,0.03262955854126679
2|,26|,0.6794625719769674
13|,36|,0.1038961038961039
13|,37|,0.3246753246753247
13|,18|,0.017857142857142856
13|,12|,0.18668831168831168
13|,11|,0.28733766233766234
13|,0|,0.01461038961038961
13|,25|,0.06493506493506493
